Year,Basin,PopSize,CV,Source
1981,Atlantic,91,0.3402584897599121,Branch
1986,Atlantic,210,0.3960945799254847,Branch
1996,Atlantic,326,0.34650162527368106,Branch
1979,Indian,197,0.2509638258658089,Branch
1987,Indian,141,0.27648654661439004,Branch
1996,Indian,754,0.16175804176877537,Branch
1982,Pacific,278,0.21519398992070168,Branch
1988,Pacific,334,0.23089136254905615,Branch
1999,Pacific,1126,0.14311525044750076,Branch
1989,Indian,83,0.5400354540594612,Hamabe
1991,Indian,78,0.325714716353469,Hamabe
1993,Indian,92,0.2596426935545268,Hamabe
1995,Indian,2,0.7480519480519481,Hamabe
1997,Indian,174,0.41866265225725985,Hamabe
1999,Indian,262,0.3925291695962118,Hamabe
2001,Indian,393,0.30233298471099407,Hamabe
2003,Indian,45,0.32487552889086085,Hamabe
2005,Indian,265,0.3630085339091448,Hamabe
2007,Indian,380,0.3650531224194049,Hamabe
1990,Pacific,81,1.4511627906976745,Hamabe
1992,Pacific,150,0.6139534883720931,Hamabe
1994,Pacific,107,0.7255813953488373,Hamabe
1996,Pacific,4,1.3395348837209302,Hamabe
1998,Pacific,128,1.2,Hamabe
2000,Pacific,95,1.213953488372093,Hamabe
2002,Pacific,92,1.0883720930232559,Hamabe
2004,Pacific,70,0.613953488372093,Hamabe
2006,Pacific,88,1.213953488372093,Hamabe
2008,Pacific,538,0.9488372093023256,Hamabe
