Yr_rec,AA,AB,AC,BA,BB,BC,CA,CB,CC
1932,0,0,0,0,0,0,0,0,0
1935,1,0,0,0,3,0,0,0,0
1937,0,0,0,0,3,0,0,0,0
1933,0,0,0,0,0,0,0,0,0
1936,1,0,0,1,3,0,0,0,0
1938,2,0,0,1,0,0,0,0,0
1934,0,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0,0
1950,0,0,0,0,1,0,0,0,0
1952,0,0,0,0,0,0,0,0,0
1955,1,0,0,0,0,0,0,0,0
1953,0,0,0,1,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0
1946,1,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,1,0,0,2
1958,0,0,0,0,3,0,0,2,2
1956,0,0,0,2,1,0,0,0,1
1964,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,2,0,0,0,0
1959,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,1,0,0,2,0
1966,0,0,0,0,2,0,0,0,0
1967,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0,0
1945,0,0,0,0,0,0,0,0,0
1947,0,1,0,1,2,0,0,0,0
1929,0,0,0,0,0,0,0,0,0
1928,0,0,0,0,0,0,0,0,0
1927,0,0,0,0,0,0,0,0,0
1930,0,0,0,0,0,0,0,0,0
1931,0,0,0,0,0,0,0,0,0
1939,1,0,0,0,1,0,0,0,0
1940,0,0,0,0,0,0,0,0,0
1941,0,0,0,0,0,0,0,0,0
1942,0,0,0,0,0,0,0,0,0
1943,0,0,0,0,0,0,0,0,0
1944,0,0,0,0,0,0,0,0,0
