Year,A,B,C
1932,11,0,0
1935,308,224,0
1937,32,0,19
1933,0,0,0
1936,60,334,0
1938,50,35,0
1934,177,140,0
1949,0,0,0
1950,0,0,0
1952,0,1,0
1955,6,71,42
1953,101,1,0
1954,8,3,0
1946,0,0,0
1951,0,0,0
1957,1,73,119
1958,0,8,55
1956,2,0,81
1964,0,0,0
1969,0,0,0
1963,0,6,0
1959,0,45,0
1962,0,47,0
1960,0,18,5
1961,0,4,0
1966,0,0,0
1967,0,0,0
1965,0,0,0
1968,0,0,0
1971,0,0,0
1970,0,0,0
1972,0,0,0
1948,0,0,0
1945,0,2,0
1947,0,0,5
1929,2,0,0
1928,8,0,0
1926,6,0,0
1927,0,0,0
1930,0,0,0
1931,0,0,0
1939,0,0,0
1940,0,0,0
1941,0,0,0
1942,0,0,0
1943,0,0,0
1944,0,0,0
